column,data_type,missing_count,missing_percent,unique_values
order_id,str,0,0.0,99441
customer_id,str,0,0.0,99441
customer_unique_id,str,0,0.0,96096
customer_city,str,0,0.0,4119
customer_state,str,0,0.0,27
order_status,str,0,0.0,8
order_year,int32,0,0.0,3
order_month,int32,0,0.0,12
order_day,int32,0,0.0,31
order_day_of_week,int32,0,0.0,7
order_hour,int32,0,0.0,24
delivery_days,float64,2965,2.981667521444877,146
estimated_delivery_days,int64,0,0.0,104
delivery_delay_days,float64,2965,2.981667521444877,198
is_late_delivery,int64,0,0.0,2
review_score,float64,768,0.7723172534467675,11
is_low_review,int64,0,0.0,2
review_comment_count,float64,768,0.7723172534467675,4
has_review_comment,float64,768,0.7723172534467675,2
total_payment_value,float64,1,0.0010056214237588116,27979
max_payment_installments,float64,1,0.0010056214237588116,24
payment_types_count,float64,1,0.0010056214237588116,2
dominant_payment_type,str,1,0.0010056214237588116,5
total_items,float64,775,0.7793566034130791,17
total_price,float64,775,0.7793566034130791,7761
total_freight,float64,775,0.7793566034130791,7970
unique_products,float64,775,0.7793566034130791,8
unique_sellers,float64,775,0.7793566034130791,5
main_product_category,str,2185,2.197282810913004,71
